0	-0.00166583
0.1	-0.00664502
0.2	-0.0115578
0.3	-0.0163551
0.4	-0.020989
0.5	-0.0254132
0.6	-0.0295835
0.7	-0.0334582
0.8	-0.0369985
0.9	-0.0401692
1	-0.0429386
1.1	-0.0452789
1.2	-0.0471668
1.3	-0.0485834
1.4	-0.0495146
1.5	-0.049951
1.6	-0.0498884
1.7	-0.0493273
1.8	-0.0482733
1.9	-0.046737
2	-0.0447338
2.1	-0.0422835
2.2	-0.0394108
2.3	-0.0361443
2.4	-0.0325166
2.5	-0.0285641
2.6	-0.0243262
2.7	-0.0198452
2.8	-0.0151659
2.9	-0.010335
3	-0.00540096
3.1	-0.000412908
3.2	0.00457927
3.3	0.00952569
3.4	0.0143769
3.5	0.0190845
3.6	0.0236014
3.7	0.0278825
3.8	0.031885
3.9	0.0355689
4	0.0388975
4.1	0.0418373
4.2	0.0443592
4.3	0.0464378
4.4	0.0480524
4.5	0.0491869
4.6	0.04983
4.7	0.0499752
4.8	0.049621
4.9	0.048771
5	0.0474337
5.1	0.0456225
5.2	0.0433555
5.3	0.0406552
5.4	0.0375487
5.5	0.0340671
5.6	0.0302451
5.7	0.0261208
5.8	0.0217356
5.9	0.0171332
6	0.0123597
6.1	0.00746258
6.2	0.00249094
6.3	-0.00250559
6.4	-0.00747709
6.5	-0.0123739
6.6	-0.017147
6.7	-0.0217488
6.8	-0.0261334
6.9	-0.0302568
7	-0.0340778
7.1	-0.0375584
7.2	-0.0406637
7.3	-0.0433628
7.4	-0.0456285
7.5	-0.0474384
7.6	-0.0487742
7.7	-0.0496227
7.8	-0.0499755
7.9	-0.0498288
8	-0.0491843
8.1	-0.0480484
8.2	-0.0464324
8.3	-0.0443524
8.4	-0.0418293
8.5	-0.0388882
8.6	-0.0355586
8.7	-0.0318737
8.8	-0.0278704
8.9	-0.0235885
9	-0.019071
9.1	-0.0143629
9.2	-0.00951128
9.3	-0.00456466
9.4	0.000427583
9.5	0.00541555
9.6	0.0103494
9.7	0.0151799
9.8	0.0198586
